,,,,,,,,,,,,,,
,SDMS Center ID,Subsidiary,Location,SDMS Center ID,Training Center Name,State,Location/Town,District,Center Address,Center Incharge Name,Center Incharge contact No.,Center Incharge Email,,
,90066,BCCL,Barora VTC,90066,Barora VTC,Jharkhand,Dhanbad,Dhanbad,"Barora VTC, Bharat Coking Coal Limited, Baghmara Bazar, Dhanbad, Dhanbad, Jharkhand, PIN-828306",Sri A K Prasad,9470596088,N/A,/,Dhanbad/Jharkhand
,90067,BCCL,Bastacola VTC,90067,Bastacola VTC,Jharkhand,Dhanbad,Dhanbad,"Bastacola VTC, Bharat Coking Coal Limited, Bastacola, Dhanbad, Dhanbad, Jharkhand, PIN-828106",Hardeep Sondi,9470597225,N/A,/,Dhanbad/Jharkhand
,90068,BCCL,EJ VTC,90068,EJ VTC,Jharkhand,Dhanbad,Dhanbad,"EJ VTC, Bharat Coking Coal Limited, Jharia, Dhanbad, Dhanbad, Jharkhand, PIN-828111",Sri Harish Ghosh,9470597442,N/A,/,Dhanbad/Jharkhand
,90069,BCCL,Govindpur VTC,90069,Govindpur VTC,Jharkhand,Dhanbad,Dhanbad,"Govindpur VTC, Bharat Coking Coal Limited, Govindpur, Dhanbad, Dhanbad, Jharkhand, PIN-828109",A K Singh,9470596371,N/A,/,Dhanbad/Jharkhand
,90070,BCCL,Katras VTC,90070,Katras VTC,Jharkhand,Dhanbad,Dhanbad,"Katras VTC , Bharat Coking Coal Limited, Katras Bazar, Dhanbad, Dhanbad, Jharkhand, PIN-828114",Sri S. K. Sharan,9470596475,N/A,/,Dhanbad/Jharkhand
,90071,BCCL,Kusunda VTC,90071,Kusunda VTC,Jharkhand,Dhanbad,Dhanbad,"Kusunda VTC, Bharat Coking Coal Limited, Kusunda, Dhanbad, Dhanbad, Jharkhand, PIN-828116",Kishan Kumar,9470597141,N/A,/,Dhanbad/Jharkhand
,90072,BCCL,Lodna VTC,90072,Lodna VTC,Jharkhand,Dhanbad,Dhanbad,"Lodna VTC, Bharat Coking Coal Limited, Lodna (Dhanbad), Dhanbad, Dhanbad, Jharkhand, PIN-828131",Ramu Parsad,9470597565,N/A,/,Dhanbad/Jharkhand
,90073,BCCL,P B Area VTC,90073,P B Area VTC,Jharkhand,Dhanbad,Dhanbad,"P B Area VTC, Bharat Coking Coal Limited, Karitand, Dhanbad, Dhanbad, Jharkhand, PIN-828129",R.E Prasad,9470599321,N/A,/,Dhanbad/Jharkhand
,90074,BCCL,Sijua Area VTC,90074,Sijua Area VTC,Jharkhand,Dhanbad,Dhanbad,"Sijua Area VTC, Bharat Coking Coal Limited, Sijua, Dhanbad, Dhanbad, Jharkhand, PIN-828121",A.P Singh,9470596662,N/A,/,Dhanbad/Jharkhand
,90075,BCCL,WJ VTC,90075,WJ VTC,Jharkhand,Dhanbad,Dhanbad,"WJ VTC, Bharat Coking Coal Limited, Jharia, Dhanbad, Dhanbad, Jharkhand, PIN-828111",Kumar Kishan,9470597141,N/A,/,Dhanbad/Jharkhand
,90076,ECL,Jhanjra VTC,90076,Jhanjra VTC,West Bengal,Asansol,Bardhaman,"Jhanjra VTC, Eastern Coalfields Limited, Jhanjhra, Asansol, Bardhaman, West Bengal, PIN-713363",G.C Sinha,9434796305,N/A,/,Bardhaman/West Bengal
,90077,ECL,Kunustoria VTC,90077,Kunustoria VTC,West Bengal,Asansol,Bardhaman,"Kunustoria VTC, Eastern Coalfields Limited, Kunustoria, Asansol, Bardhaman, West Bengal, PIN-713301",Sanjay Sinha,9434795363,N/A,/,Bardhaman/West Bengal
,90078,ECL,"MTI, Ratibati",90078,"MTI, Ratibati",West Bengal,Asansol,Bardhaman,"MTI, Ratibati, Eastern Coalfields Limited, Rotibati, Asansol, Bardhaman, West Bengal, PIN-713339",Sanjay Sinha,9434795363,N/A,/,Bardhaman/West Bengal
,90079,ECL,"MTS, Dhadka, Asansol",90079,MTS Dhadka,West Bengal,Asansol,Bardhaman,"MTS Dhadka, Asansol, Eastern Coalfields Limited, MTS Dhadka Road, Asansol-2 burdwan,West Bengal, PIN-713302",Sanjay Sinha,9434795363,N/A,/,Bardhaman/West Bengal
,90080,ECL,"Satgram, VTC",90080,"Satgram, VTC",West Bengal,Asansol,Bardhaman,"Satgram, VTC, Eastern Coalfields Limited, Satgram, Asansol, Bardhaman, West Bengal, PIN-713383",Sanjay Sinha,9434795363,N/A,/,Bardhaman/West Bengal
,90081,ECL,"Sonepur Bazari, TTC",90081,"Sonepur Bazari, TTC",West Bengal,Asansol,Bardhaman,"Sonpur bazari protect, Haripur Raniganj, Eastern Coalfields Limited, Sonepur, Asansol, Bardhaman, West Bengal, PIN-713378",T.K .Paul,9434795787,N/A,/,Bardhaman/West Bengal
,90082,SECL,Gevra BETI,90082,Gevra BETI,Chattisgarh,Gevra,Korba,"Korba Colliery, South Eastern Coalfields Limited, Hasdeo , Korba, Korba, Chattisgarh, PIN-495677",Shri  D.N .Singh,7587390640,principalbeti@gmail.com,/,Korba/Chattisgarh
,90083,SECL,Gevra CETI,90083,Gevra CETI,Chattisgarh,Gevra,Korba,"Post office Gevra Project, South Eastern Coalfields Limited, Wcl Gevra, Korba, Korba, Chattisgarh, PIN-495452",Lallan Giri,9425531271,N/A,/,Korba/Chattisgarh
,90084,SECL,Group VTC Jamuna & Kotma,90084,Group VTC Jamuna & Kotma,Madhya Pradesh,Jamuna Kotma,Anuppur,"OFFICE OF THE GENERAL MANAGER (E&M), South Eastern Coalfields Limited, Harad, Jamuna Kotma, Anuppur, Madhya Pradesh, PIN-484444",Mr Shoda,9425533834,N/A,/,Anuppur/Madhya Pradesh
,90085,SECL,"GVTC, NCPH, Chirimiri Area",90085,"Chirimiri, VTC",Chattisgarh,Chirimiri,Korea,"GVTC Chirimiri, , South Eastern Coalfields Limited, Haldibari, Chirimiri, Koriya, Chattisgarh, PIN-497451",Ramesh Tiwari,945533329,N/A,/,Korea/Chattisgarh
,90086,SECL,"GVTC, Nowrozabad, Johilla Area",90086,VTC Johilla Area,Madhya Pradesh,Johilla,Hoshangabad,"Office of the General Manager, South Eastern Coalfields Limited, Nowrozabad, Johilla, Umaria, Madhya Pradesh, PIN-848555",S L Gupta,9425279899,N/A,/,Hoshangabad/Madhya Pradesh
,90087,SECL,"GVTC, Rajnagar, RO Hasdeo Area",90087,"Group VTC, Rajnagar RO",Chattisgarh,Hasdeo,Korea,"Office of the Chief General Manager, South Eastern Coalfields Limited, Raj Nagar, Hasdeo, Anuppur, Madhya Pradesh, PIN-484444",Lallan Giri,9425531271,N/A,/,Korea/Chattisgarh
,90088,SECL,"GVTC, Sohagpur Area",90088,VTC Sohaggpur,Madhya Pradesh,Sohagpur,Hoshangabad,"VTC Sohaggpur, South Eastern Coalfields Limited, Dhanpuri, Shahdol, Sohagpur, Madhya Pradesh, PIN-461771",P K Jain,9926782236,N/A,/,Hoshangabad/Madhya Pradesh
,90089,SECL,RTI Bishrampur,90089,RTI Bishrampur,Chattisgarh,Bishrampur,Surguja,"P.O. Bishrampur , RTI Colony, South Eastern Coalfields Limited, RTI , Bishrampur, Bishrampur, Chattisgarh, PIN-497226",Ashok Kumar Verma,9425533608,N/A,/,Surguja/Chattisgarh
,91021,ECL,VTC Dishergarh,91021,VTC Dishergarh,West Bengal,Asansol,Bardhaman,"Office of the Chief General Manager, Eastern Coalfields Limited, Sanctoria, Dishergarh, Dist.: Burdwan, PIN: 713333",Sanjay Sinha,9434795363,N/A,/,Bardhaman/West Bengal
,91215,SECL,GVTC Bhatgaon Area,91215,GVTC Bhatgaon Area,Chattisgarh,Bhatgaon,Surguja,Bhatgaon Area. PO: Bhatgaon Dist: Surajpur PIN-497235,Lallan Giri,9425531271,N/A,/,Surguja/Chattisgarh
,91216,SECL,"GVTC, Churcha, Baikunthpur Area",91216,"GVTC, Churcha, Baikunthpur Area",Chattisgarh,Churcha,Korea,"GVTC, Churcha, Baikunthpur Area, Korea, PIN-497335",Lallan Giri,9425531271,N/A,/,Korea/Chattisgarh
,92112,SECL,"GVTC Singhali, Korba Area",92112,"GVTC Singhali, Korba Area",Chattisgarh,Korba,Korba,"GVTC Singhali,Korba Area, PO Jawali B.O., PIN-495445",Lallan Giri,9425531271,N/A,/,Korba/Chattisgarh
,92151,ECL,Bankola Area VTC,92151,Bankola Area VTC,West Bengal,Asansol,Bardhaman,"Bankola Area VTC, PO Bankola Area Colony, Andal, PO Bankola Area Colony, PIN-713321",Sanjay Sinha,9434795363,N/A,/,Bardhaman/West Bengal
,92152,ECL,Sodepur VTC,92152,Sodepur VTC,West Bengal,Asansol,Bardhaman,"Sodepur VTC, Sheetalpur Area, ",Sanjay Sinha,9434795363,N/A,/,Bardhaman/West Bengal
,92886,ECL,Mugma VTC,92886,Mugma VTC,Jharkhand,Dhanbad,Dhanbad,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
